num,x_coord,y_coord,radius,angle_rad,label,is_pseudo,pseudo_types
250,-1,8,8.0623,1.6952,comp,0,
251,-2,8,8.2462,1.8158,prime,0,
252,-3,8,8.544,1.9296,comp,0,
253,-4,8,8.9443,2.0344,comp,0,
254,-5,8,9.434,2.1294,comp,0,
255,-6,8,10.0,2.2143,comp,0,
256,-7,8,10.6301,2.2896,comp,0,
257,-8,8,11.3137,2.3562,prime,0,
258,-8,7,10.6301,2.4228,comp,0,
259,-8,6,10.0,2.4981,comp,0,
260,-8,5,9.434,2.583,comp,0,
261,-8,4,8.9443,2.6779,comp,0,
262,-8,3,8.544,2.7828,comp,0,
263,-8,2,8.2462,2.8966,prime,0,
264,-8,1,8.0623,3.0172,comp,0,
265,-8,0,8.0,3.1416,comp,0,
266,-8,-1,8.0623,3.2659,comp,0,
267,-8,-2,8.2462,3.3866,comp,0,
268,-8,-3,8.544,3.5004,comp,0,
269,-8,-4,8.9443,3.6052,prime,0,
270,-8,-5,9.434,3.7002,comp,0,
271,-8,-6,10.0,3.7851,prime,0,
272,-8,-7,10.6301,3.8604,comp,0,
273,-8,-8,11.3137,3.927,comp,0,
274,-7,-8,10.6301,3.9936,comp,0,
275,-6,-8,10.0,4.0689,comp,0,
276,-5,-8,9.434,4.1538,comp,0,
277,-4,-8,8.9443,4.2487,prime,0,
278,-3,-8,8.544,4.3536,comp,0,
279,-2,-8,8.2462,4.4674,comp,0,
280,-1,-8,8.0623,4.588,comp,0,
281,0,-8,8.0,4.7124,prime,0,
282,1,-8,8.0623,4.8367,comp,0,
283,2,-8,8.2462,4.9574,prime,0,
284,3,-8,8.544,5.0712,comp,0,
285,4,-8,8.9443,5.176,comp,0,
286,5,-8,9.434,5.271,pseudo,1,FERMAT_3
287,6,-8,10.0,5.3559,comp,0,
288,7,-8,10.6301,5.4312,comp,0,
289,8,-8,11.3137,5.4978,comp,0,
290,9,-8,12.0416,5.5565,comp,0,
291,9,-7,11.4018,5.6221,comp,0,
292,9,-6,10.8167,5.6952,comp,0,
293,9,-5,10.2956,5.7761,prime,0,
294,9,-4,9.8489,5.865,comp,0,
295,9,-3,9.4868,5.9614,comp,0,
296,9,-2,9.2195,6.0645,comp,0,
297,9,-1,9.0554,6.1725,comp,0,
298,9,0,9.0,0.0,comp,0,
299,9,1,9.0554,0.1107,comp,0,
300,9,2,9.2195,0.2187,comp,0,
301,9,3,9.4868,0.3218,comp,0,
302,9,4,9.8489,0.4182,comp,0,
303,9,5,10.2956,0.5071,comp,0,
304,9,6,10.8167,0.588,comp,0,
305,9,7,11.4018,0.661,comp,0,
306,9,8,12.0416,0.7266,comp,0,
307,9,9,12.7279,0.7854,prime,0,
308,8,9,12.0416,0.8442,comp,0,
309,7,9,11.4018,0.9098,comp,0,
310,6,9,10.8167,0.9828,comp,0,
311,5,9,10.2956,1.0637,prime,0,
312,4,9,9.8489,1.1526,comp,0,
313,3,9,9.4868,1.249,prime,0,
314,2,9,9.2195,1.3521,comp,0,
315,1,9,9.0554,1.4601,comp,0,
316,0,9,9.0,1.5708,comp,0,
317,-1,9,9.0554,1.6815,prime,0,
318,-2,9,9.2195,1.7895,comp,0,
319,-3,9,9.4868,1.8925,comp,0,
320,-4,9,9.8489,1.989,comp,0,
321,-5,9,10.2956,2.0779,comp,0,
322,-6,9,10.8167,2.1588,comp,0,
323,-7,9,11.4018,2.2318,pseudo,1,ODD_FIBONACCI
324,-8,9,12.0416,2.2974,comp,0,
325,-9,9,12.7279,2.3562,comp,0,
326,-9,8,12.0416,2.415,comp,0,
327,-9,7,11.4018,2.4805,comp,0,
